Channel_number:	CH4
Foil_name:	GE21-FOIL-M3-G12-KR-B03-0018
Production-delivery_date:	
User_name:	
Time_stamp:	20220224_16-25
Voltage (V)	Current (uA)	Time (s)
0.000000	0.000000	1.941000
0.000000	0.000000	2.509000
0.000000	0.000000	3.081000
0.000000	0.000000	3.654000
0.000000	0.000000	4.216000
4.500000	0.725000	4.790000
4.500000	0.725000	5.368000
27.900000	2.235000	5.939000
27.900000	2.235000	6.509000
27.900000	2.235000	7.079000
43.400000	1.907000	7.653000
43.400000	1.907000	8.232000
43.400000	1.806000	8.802000
43.400000	1.806000	9.375000
58.500000	1.806000	9.946000
58.500000	1.782000	10.517000
73.600000	1.782000	11.097000
73.600000	1.782000	11.668000
88.700000	1.778000	12.429000
88.700000	1.778000	13.000000
88.700000	1.778000	13.571000
98.800000	1.202000	14.143000
98.800000	1.202000	14.714000
99.200000	0.271000	15.279000
99.200000	0.271000	15.850000
99.200000	0.271000	16.428000
99.200000	0.060000	16.997000
99.200000	0.060000	17.568000
99.200000	0.017000	18.141000
99.200000	0.017000	18.712000
99.200000	0.017000	19.291000
99.200000	0.009000	19.864000
99.200000	0.009000	20.435000
99.200000	0.009000	21.006000
99.200000	0.006000	21.583000
99.200000	0.006000	22.161000
99.200000	0.006000	22.731000
99.300000	0.006000	23.307000
99.300000	0.006000	23.871000
99.200000	0.005000	24.440000
99.200000	0.005000	25.011000
99.200000	0.005000	25.585000
99.300000	0.005000	26.155000
99.300000	0.005000	26.734000
99.300000	0.005000	27.307000
99.300000	0.005000	27.878000
99.300000	0.000000	29.885000
99.300000	0.000000	30.642000
99.300000	0.000000	31.215000
99.300000	0.000000	31.802000
99.200000	0.001350	32.372000
99.200000	0.001350	32.952000
99.200000	0.001700	33.527000
99.300000	0.001700	34.098000
99.300000	0.001700	34.671000
99.300000	0.001700	35.242000
99.300000	0.001550	35.821000
99.300000	0.001550	36.392000
99.300000	0.001650	36.964000
99.300000	0.001650	37.536000
99.300000	0.001650	38.107000
99.300000	0.001750	38.678000
99.300000	0.001750	39.257000
99.300000	0.001200	39.828000
99.300000	0.001200	40.399000
99.300000	0.001200	40.975000
99.300000	0.001400	41.546000
99.300000	0.001400	42.133000
99.300000	0.001500	42.709000
99.300000	0.001500	43.279000
99.300000	0.001500	43.860000
99.300000	0.001250	44.431000
99.300000	0.001250	45.001000
99.300000	0.001250	45.573000
99.300000	0.000650	46.143000
99.300000	0.000000	48.169000
99.300000	0.108000	48.732000
99.300000	0.108000	49.302000
100.200000	0.108000	49.885000
100.200000	1.222000	50.456000
111.900000	1.222000	51.029000
111.900000	1.222000	51.600000
111.900000	1.222000	52.171000
127.100000	1.658000	52.751000
127.100000	1.658000	53.322000
142.200000	1.754000	53.901000
142.200000	1.754000	54.470000
142.200000	1.754000	55.040000
157.400000	1.774000	55.614000
157.400000	1.774000	56.185000
172.400000	1.776000	56.756000
172.400000	1.776000	57.336000
172.400000	1.776000	57.923000
187.600000	1.774000	58.494000
187.600000	1.774000	59.254000
187.600000	1.294000	59.825000
198.600000	1.294000	60.404000
198.600000	1.294000	60.980000
199.300000	0.308000	61.550000
199.300000	0.308000	62.131000
199.300000	0.308000	62.702000
199.300000	0.068000	63.273000
199.300000	0.068000	63.842000
199.400000	0.020000	64.420000
199.400000	0.020000	64.999000
199.400000	0.020000	65.588000
199.400000	0.009000	66.159000
199.400000	0.009000	66.737000
