Channel_number:	CH2
Foil_name:	GE21-FOIL-M3-G12-KR-B03-0019
Production-delivery_date:	
User_name:	
Time_stamp:	20220222_20-11
Voltage (V)	Current (uA)	Time (s)
0.000000	0.000000	1.872000
0.000000	0.000000	2.434000
0.000000	0.000000	3.005000
0.000000	0.000000	3.581000
0.000000	0.000000	4.152000
3.700000	0.589000	4.727000
3.700000	0.589000	5.297000
26.400000	2.135000	5.868000
26.400000	2.135000	6.445000
26.400000	2.135000	7.017000
41.600000	1.863000	7.588000
41.600000	1.863000	8.161000
41.600000	1.777000	8.733000
56.800000	1.777000	9.304000
56.800000	1.777000	9.872000
56.800000	1.759000	10.443000
71.900000	1.759000	11.015000
71.900000	1.759000	11.586000
87.100000	1.756000	12.156000
87.100000	1.756000	12.916000
87.100000	1.756000	13.485000
98.500000	1.339000	14.056000
98.500000	1.339000	14.626000
99.400000	0.332000	15.199000
99.400000	0.332000	15.761000
99.400000	0.332000	16.335000
99.400000	0.071000	16.905000
99.400000	0.071000	17.478000
99.400000	0.018000	18.058000
99.400000	0.018000	18.628000
99.400000	0.018000	19.202000
99.400000	0.009000	19.780000
99.500000	0.009000	20.350000
99.500000	0.005000	20.920000
99.500000	0.005000	21.492000
99.500000	0.005000	22.063000
99.500000	0.005000	22.635000
99.500000	0.003000	23.213000
99.500000	0.003000	23.786000
99.500000	0.004000	24.357000
99.500000	0.004000	24.928000
99.500000	0.004000	25.500000
99.500000	0.002000	26.071000
99.500000	0.002000	26.650000
99.500000	0.003000	27.227000
99.500000	0.003000	27.799000
99.500000	0.003000	28.371000
99.500000	0.000000	30.338000
99.500000	0.000000	31.097000
99.500000	0.000000	31.677000
99.500000	0.000000	32.249000
99.500000	0.000000	32.820000
99.500000	0.001350	33.395000
99.500000	0.001350	33.973000
99.500000	0.001350	34.546000
99.500000	0.000500	35.116000
99.500000	0.000500	35.688000
99.500000	0.000050	36.259000
99.500000	0.000050	36.834000
99.500000	0.000050	37.401000
99.500000	0.000050	37.974000
99.500000	0.000000	38.552000
99.500000	0.000000	39.133000
99.500000	0.002700	39.706000
99.500000	0.002700	40.286000
99.500000	0.002700	40.855000
99.500000	0.001050	41.430000
99.500000	0.001050	42.001000
99.500000	0.000900	42.622000
99.500000	0.000900	43.314000
99.500000	0.000900	43.892000
99.500000	0.000550	44.471000
99.500000	0.000550	45.051000
99.500000	0.000150	45.622000
99.500000	0.000150	46.194000
99.500000	0.000000	48.158000
99.700000	0.000000	48.728000
99.700000	0.000000	49.298000
99.700000	0.000000	49.877000
99.700000	1.052000	50.450000
109.900000	1.052000	51.020000
109.900000	1.598000	51.602000
124.800000	1.598000	52.186000
124.800000	1.598000	52.758000
124.800000	1.598000	53.335000
140.000000	1.720000	53.920000
140.000000	1.720000	54.510000
155.200000	1.748000	55.090000
155.200000	1.748000	55.669000
155.200000	1.748000	56.248000
170.200000	1.752000	56.827000
170.200000	1.752000	57.410000
185.400000	1.753000	57.982000
185.400000	1.753000	58.761000
197.900000	1.449000	59.338000
197.900000	1.449000	59.920000
197.900000	1.449000	60.490000
197.900000	0.398000	61.071000
199.500000	0.398000	61.656000
199.500000	0.087000	62.235000
199.500000	0.087000	62.815000
199.600000	0.087000	63.401000
199.600000	0.087000	63.973000
199.500000	0.022000	64.546000
199.500000	0.022000	65.125000
199.500000	0.022000	65.706000
199.600000	0.009000	66.298000
199.600000	0.009000	66.877000
199.600000	0.004000	67.458000
199.600000	0.004000	68.044000
199.600000	0.004000	68.625000
199.600000	0.004000	69.203000
199.600000	0.004000	69.781000
199.600000	0.003000	70.357000
199.600000	0.003000	70.946000
199.600000	0.003000	71.525000
199.600000	0.003000	72.103000
199.600000	0.003000	72.681000
199.600000	0.003000	73.259000
199.600000	0.003000	73.836000
199.600000	0.000000	75.819000
199.600000	0.000000	76.577000
199.600000	0.000000	77.157000
199.600000	0.000000	77.733000
199.600000	0.000850	78.304000
199.600000	0.000850	78.890000
199.600000	0.000850	79.469000
199.600000	0.000850	80.046000
199.600000	0.000850	80.625000
199.600000	0.000800	81.203000
199.600000	0.000800	81.791000
199.600000	0.000800	82.359000
199.600000	0.001100	82.938000
199.600000	0.001100	83.509000
199.600000	0.001200	84.088000
199.600000	0.001200	84.677000
199.600000	0.001200	85.254000
199.600000	0.000000	85.844000
199.600000	0.000000	86.415000
199.600000	0.001450	86.984000
199.600000	0.001450	87.562000
199.600000	0.001450	88.139000
199.600000	0.001450	88.719000
199.600000	0.000750	89.299000
199.600000	0.000750	89.887000
199.600000	0.000950	90.466000
199.600000	0.000950	91.051000
199.600000	0.000950	91.634000
199.600000	0.000000	93.600000
199.600000	0.000000	94.367000
199.600000	0.000000	94.946000
201.000000	0.179000	95.524000
201.000000	0.179000	96.102000
207.800000	0.687000	96.680000
207.800000	0.687000	97.270000
207.800000	0.687000	97.850000
215.300000	0.828000	98.435000
215.300000	0.828000	99.007000
222.800000	0.857000	99.579000
222.800000	0.857000	100.149000
222.800000	0.857000	100.729000
222.800000	0.862000	101.316000
230.300000	0.862000	101.889000
230.300000	0.867000	102.462000
