Channel_number:	CH2
Foil_name:	GE21-FOIL-M3-G12-KR-B03-0020
Production-delivery_date:	
User_name:	
Time_stamp:	20220224_15-06
Voltage (V)	Current (uA)	Time (s)
0.200000	0.000000	1.873000
0.200000	0.000000	2.444000
0.200000	0.000000	3.015000
0.200000	0.000000	3.586000
0.200000	0.000000	4.157000
0.200000	0.000000	4.731000
13.900000	1.535000	5.319000
13.900000	1.535000	5.897000
33.700000	1.960000	6.467000
33.700000	1.960000	7.043000
33.700000	1.960000	7.622000
48.900000	1.816000	8.208000
48.900000	1.816000	8.785000
48.900000	1.767000	9.366000
64.100000	1.767000	9.952000
64.100000	1.767000	10.535000
64.100000	1.758000	11.113000
79.200000	1.758000	11.698000
79.200000	1.758000	12.270000
94.000000	1.728000	13.046000
94.000000	1.728000	13.619000
94.000000	1.728000	14.200000
99.300000	0.736000	14.787000
99.300000	0.736000	15.357000
99.400000	0.160000	15.937000
99.400000	0.160000	16.511000
99.400000	0.160000	17.080000
99.400000	0.039000	17.660000
99.400000	0.039000	18.228000
99.400000	0.012000	18.801000
99.400000	0.012000	19.377000
99.400000	0.006000	19.956000
99.400000	0.006000	20.535000
99.400000	0.006000	21.111000
99.400000	0.005000	21.690000
99.400000	0.005000	22.277000
99.400000	0.005000	22.855000
99.400000	0.005000	23.426000
99.400000	0.004000	24.012000
99.400000	0.004000	24.584000
99.400000	0.003000	25.154000
99.400000	0.003000	25.735000
99.400000	0.003000	26.311000
99.400000	0.003000	26.882000
99.400000	0.003000	27.462000
99.400000	0.003000	28.032000
99.400000	0.003000	28.610000
99.400000	0.000000	30.539000
99.400000	0.000000	31.307000
99.400000	0.000000	31.886000
99.400000	0.000550	32.466000
99.400000	0.000550	33.037000
99.400000	0.000550	33.615000
99.400000	0.000800	34.191000
99.400000	0.000800	34.787000
99.400000	0.000350	35.364000
99.400000	0.000350	35.947000
99.400000	0.000350	36.517000
99.400000	0.000350	37.096000
99.400000	0.000450	37.670000
99.400000	0.000450	38.248000
99.400000	0.000450	38.826000
99.400000	0.000450	39.402000
99.400000	0.000450	39.979000
99.400000	0.000900	40.558000
99.400000	0.000900	41.137000
99.400000	0.001350	41.710000
99.400000	0.001350	42.297000
99.400000	0.001350	42.881000
99.400000	0.001150	43.450000
99.400000	0.001150	44.035000
99.400000	0.000000	44.616000
99.400000	0.000000	45.188000
99.400000	0.000000	45.758000
99.400000	0.000000	46.332000
99.400000	0.000000	48.332000
99.400000	0.000000	48.913000
101.700000	0.279000	49.483000
101.700000	0.279000	50.070000
101.700000	0.279000	50.650000
101.700000	1.343000	51.236000
115.100000	1.343000	51.817000
115.100000	1.665000	52.391000
130.200000	1.665000	52.972000
130.200000	1.665000	53.560000
130.200000	1.665000	54.137000
145.400000	1.737000	54.717000
145.400000	1.737000	55.295000
160.600000	1.753000	55.870000
160.600000	1.753000	56.458000
160.600000	1.753000	57.037000
175.600000	1.753000	57.622000
175.600000	1.753000	58.202000
190.800000	1.757000	58.781000
190.800000	1.757000	59.549000
190.800000	1.037000	60.128000
199.300000	1.037000	60.717000
199.300000	1.037000	61.293000
199.300000	0.229000	61.871000
199.500000	0.229000	62.460000
199.500000	0.229000	63.039000
199.500000	0.052000	63.621000
199.500000	0.052000	64.200000
199.500000	0.052000	64.776000
199.500000	0.014000	65.359000
199.500000	0.014000	65.951000
199.500000	0.006000	66.530000
199.500000	0.006000	67.117000
199.500000	0.006000	67.689000
199.500000	0.005000	68.266000
199.500000	0.005000	68.845000
199.500000	0.003000	69.425000
199.500000	0.003000	70.010000
199.500000	0.003000	70.590000
199.500000	0.003000	71.160000
199.500000	0.003000	71.730000
199.500000	0.003000	72.309000
199.500000	0.003000	72.887000
199.500000	0.003000	73.467000
199.500000	0.003000	74.042000
199.500000	0.002000	74.620000
199.500000	0.000000	76.610000
199.500000	0.000000	77.369000
199.500000	0.000000	77.948000
199.500000	0.000250	78.527000
199.500000	0.000250	79.104000
199.500000	0.000250	79.685000
199.500000	0.000250	80.260000
199.500000	0.001500	80.839000
199.500000	0.001500	81.420000
199.600000	0.000700	81.997000
199.600000	0.000700	82.600000
199.600000	0.000700	83.179000
199.500000	0.000950	83.781000
199.500000	0.000950	84.360000
199.600000	0.000750	84.941000
199.600000	0.000750	85.520000
199.600000	0.000750	86.093000
199.500000	0.000550	86.695000
199.500000	0.000550	87.276000
199.500000	0.000850	87.854000
199.500000	0.000850	88.449000
199.500000	0.000850	89.028000
199.500000	0.000850	89.607000
199.500000	0.000350	90.202000
199.500000	0.000350	90.781000
199.500000	0.000550	91.354000
199.500000	0.000550	91.931000
199.500000	0.000550	92.515000
199.600000	0.000000	94.482000
199.600000	0.000000	95.062000
200.600000	0.133000	95.641000
200.600000	0.133000	96.227000
200.600000	0.133000	96.803000
207.200000	0.660000	97.390000
207.200000	0.660000	97.976000
214.600000	0.823000	98.560000
214.600000	0.823000	99.136000
214.600000	0.823000	99.717000
214.600000	0.857000	100.295000
222.100000	0.857000	100.890000
222.100000	0.863000	101.466000
229.600000	0.863000	102.053000
229.600000	0.863000	102.635000
229.600000	0.863000	103.206000
237.100000	0.867000	103.793000
237.100000	0.867000	104.373000
244.500000	0.868000	104.952000
244.500000	0.868000	105.718000
244.500000	0.868000	106.302000
249.400000	0.568000	106.897000
249.400000	0.568000	107.475000
249.500000	0.128000	108.061000
249.500000	0.128000	108.650000
249.500000	0.029000	109.231000
249.500000	0.029000	109.808000
249.500000	0.029000	110.386000
249.500000	0.009000	110.965000
249.600000	0.009000	111.552000
249.600000	0.009000	112.130000
249.600000	0.009000	112.708000
249.600000	0.005000	113.294000
