Channel_number:	CH3
Foil_name:	GE21-FOIL-M3-G12-KR-B03-0015
Production-delivery_date:	
User_name:	
Time_stamp:	20220222_21-30
Voltage (V)	Current (uA)	Time (s)
0.000000	0.000000	1.859000
0.000000	0.000000	2.429000
0.000000	0.002000	3.000000
0.000000	0.002000	3.588000
0.000000	0.002000	4.159000
0.000000	1.250000	4.737000
8.900000	1.250000	5.308000
8.900000	2.075000	5.879000
30.300000	2.075000	6.450000
30.300000	2.075000	7.023000
30.300000	2.075000	7.593000
45.900000	1.876000	8.170000
45.900000	1.876000	8.749000
61.100000	1.809000	9.320000
61.100000	1.809000	9.892000
61.100000	1.809000	10.463000
76.400000	1.797000	11.042000
76.400000	1.797000	11.617000
91.600000	1.794000	12.188000
91.600000	1.794000	12.965000
99.800000	0.984000	13.535000
99.800000	0.984000	14.106000
99.800000	0.984000	14.671000
99.800000	0.200000	15.242000
99.900000	0.200000	15.823000
99.900000	0.200000	16.414000
99.900000	0.200000	16.985000
99.900000	0.043000	17.571000
99.900000	0.043000	18.144000
99.900000	0.014000	18.715000
99.900000	0.014000	19.288000
99.900000	0.014000	19.858000
99.900000	0.007000	20.446000
99.900000	0.007000	21.019000
99.900000	0.005000	21.589000
99.900000	0.005000	22.160000
99.900000	0.005000	22.729000
99.900000	0.005000	23.308000
99.900000	0.005000	23.879000
99.900000	0.005000	24.454000
99.900000	0.005000	25.025000
99.900000	0.005000	25.606000
99.900000	0.004000	26.185000
99.900000	0.004000	26.756000
99.900000	0.004000	27.328000
99.900000	0.004000	27.900000
99.900000	0.004000	28.478000
99.900000	0.000000	30.420000
99.900000	0.000000	31.186000
99.900000	0.000000	31.757000
99.900000	0.000450	32.332000
99.900000	0.000450	32.904000
99.900000	0.000450	33.476000
99.900000	0.001400	34.055000
99.900000	0.001400	34.634000
99.900000	0.001600	35.206000
99.900000	0.001600	35.778000
99.900000	0.001600	36.349000
99.900000	0.001300	36.929000
99.900000	0.001300	37.508000
99.900000	0.002450	38.079000
99.900000	0.002450	38.652000
99.900000	0.002450	39.231000
99.900000	0.002450	39.802000
99.900000	0.001700	40.376000
99.900000	0.001700	40.948000
99.900000	0.001700	41.521000
99.900000	0.001050	42.107000
99.900000	0.001050	42.678000
99.900000	0.000950	43.251000
99.900000	0.000950	43.821000
99.900000	0.001450	44.393000
99.900000	0.001450	44.995000
