Channel_number:	CH4
Foil_name:	GE21-FOIL-M3-G3-KR-B03-0004
Production-delivery_date:	
User_name:	
Time_stamp:	20220222_22-48
Voltage (V)	Current (uA)	Time (s)
0.000000	0.000000	1.904000
0.000000	0.000000	2.468000
0.000000	0.000000	3.030000
0.000000	0.000000	3.609000
0.000000	0.000000	4.180000
4.500000	0.721000	4.749000
4.500000	0.721000	5.319000
27.900000	2.196000	5.893000
27.900000	2.196000	6.471000
27.900000	2.196000	7.043000
43.400000	1.881000	7.615000
43.400000	1.881000	8.194000
43.400000	1.779000	8.772000
43.400000	1.779000	9.346000
58.500000	1.779000	9.916000
58.500000	1.779000	10.487000
73.600000	1.755000	11.068000
73.600000	1.755000	11.639000
73.600000	1.755000	12.210000
88.800000	1.751000	12.785000
88.800000	1.751000	13.544000
98.800000	1.182000	14.133000
98.800000	1.182000	14.704000
99.200000	0.266000	15.274000
99.200000	0.266000	15.852000
99.200000	0.266000	16.431000
99.200000	0.059000	17.002000
99.200000	0.059000	17.577000
99.200000	0.017000	18.149000
99.200000	0.017000	18.721000
99.200000	0.017000	19.300000
99.200000	0.008000	19.871000
99.200000	0.008000	20.441000
99.200000	0.008000	21.011000
99.200000	0.007000	21.585000
99.200000	0.007000	22.175000
99.200000	0.007000	22.745000
99.300000	0.005000	23.319000
99.300000	0.005000	23.889000
99.300000	0.005000	24.460000
99.300000	0.005000	25.028000
99.300000	0.005000	25.600000
99.300000	0.005000	26.173000
99.300000	0.005000	26.752000
99.300000	0.004000	27.321000
99.300000	0.004000	27.894000
99.300000	0.004000	28.466000
99.300000	0.005000	29.037000
99.300000	0.000000	30.981000
99.300000	0.000000	31.747000
99.300000	0.000000	32.318000
99.300000	0.000000	32.893000
99.300000	0.000850	33.463000
99.300000	0.000850	34.037000
99.300000	0.000850	34.625000
99.300000	0.000850	35.196000
99.300000	0.001950	35.769000
99.300000	0.001950	36.340000
99.300000	0.001450	36.910000
99.300000	0.001450	37.499000
99.300000	0.001450	38.070000
99.300000	0.001000	38.657000
99.300000	0.001000	39.230000
99.300000	0.001450	39.801000
99.300000	0.001450	40.371000
99.300000	0.001450	40.951000
99.300000	0.001150	41.522000
99.300000	0.001150	42.095000
99.300000	0.000950	42.666000
99.300000	0.000950	43.237000
99.300000	0.000950	43.818000
99.300000	0.001350	44.388000
99.300000	0.001350	44.959000
99.300000	0.001350	45.532000
99.300000	0.001400	46.103000
99.300000	0.001400	46.682000
99.300000	0.001400	47.257000
99.300000	0.000000	49.252000
99.300000	0.000000	50.018000
99.300000	0.364000	50.588000
102.300000	0.364000	51.164000
102.300000	0.364000	51.743000
116.200000	1.398000	52.316000
116.200000	1.398000	52.906000
116.200000	1.398000	53.477000
131.400000	1.675000	54.055000
131.400000	1.675000	54.632000
146.500000	1.737000	55.203000
146.500000	1.737000	55.776000
146.500000	1.737000	56.347000
161.600000	1.748000	56.926000
161.600000	1.748000	57.494000
161.600000	1.748000	58.066000
161.600000	1.748000	58.644000
176.700000	1.748000	59.221000
176.700000	1.746000	59.792000
191.800000	1.746000	60.373000
191.800000	1.746000	60.943000
199.200000	0.920000	61.514000
199.200000	0.920000	62.095000
199.200000	0.920000	62.666000
199.400000	0.194000	63.237000
199.400000	0.194000	63.814000
199.400000	0.045000	64.385000
199.400000	0.045000	64.958000
199.400000	0.045000	65.528000
199.400000	0.000000	67.528000
199.400000	0.000000	68.301000
199.400000	0.000000	68.873000
199.400000	0.001100	69.453000
199.400000	0.001100	70.024000
199.400000	0.002000	70.597000
199.400000	0.002000	71.178000
199.400000	0.002000	71.749000
199.400000	0.002100	72.322000
199.400000	0.002100	72.901000
199.400000	0.002250	73.472000
199.400000	0.002250	74.053000
199.400000	0.002250	74.624000
199.400000	0.001900	75.195000
199.400000	0.001900	75.774000
199.400000	0.001650	76.345000
199.400000	0.001650	76.918000
199.400000	0.001650	77.489000
199.400000	0.001650	78.060000
199.400000	0.001550	78.631000
199.400000	0.001550	79.203000
199.400000	0.001550	79.775000
199.400000	0.001700	80.346000
199.400000	0.001700	80.917000
199.400000	0.001850	81.489000
199.400000	0.001850	82.068000
199.400000	0.001850	82.638000
199.400000	0.001000	83.214000
199.400000	0.001000	83.785000
199.400000	0.000000	85.715000
199.400000	0.000000	86.472000
199.400000	0.000000	87.045000
202.500000	0.346000	87.616000
202.500000	0.346000	88.186000
209.700000	0.754000	88.756000
209.700000	0.754000	89.327000
209.700000	0.754000	89.900000
209.700000	0.841000	90.479000
217.300000	0.841000	91.049000
217.300000	0.841000	91.622000
217.300000	0.841000	92.193000
224.700000	0.860000	92.764000
224.700000	0.860000	93.340000
232.200000	0.864000	93.912000
232.200000	0.864000	94.485000
232.200000	0.864000	95.048000
239.700000	0.864000	95.618000
239.700000	0.864000	96.196000
247.000000	0.843000	96.767000
247.000000	0.843000	97.346000
247.000000	0.843000	97.923000
249.400000	0.331000	98.502000
249.400000	0.331000	99.075000
249.400000	0.072000	99.645000
249.500000	0.072000	100.216000
249.500000	0.072000	100.797000
249.500000	0.017000	101.359000
249.500000	0.017000	101.925000
249.500000	0.000000	103.885000
249.500000	0.000000	104.642000
249.500000	0.000000	105.214000
249.500000	0.001350	105.786000
249.500000	0.001350	106.365000
249.500000	0.001350	106.937000
249.500000	0.001350	107.509000
249.500000	0.001750	108.079000
249.500000	0.001750	108.660000
249.500000	0.001850	109.231000
249.500000	0.001850	109.804000
249.500000	0.001850	110.383000
249.500000	0.001350	110.961000
249.500000	0.001350	111.535000
249.500000	0.001550	112.106000
249.500000	0.001550	112.676000
249.500000	0.001550	113.249000
249.500000	0.001350	113.819000
249.500000	0.001350	114.394000
249.500000	0.001750	114.963000
249.500000	0.001750	115.534000
249.500000	0.001750	116.115000
249.500000	0.001750	116.686000
249.500000	0.001500	117.257000
249.500000	0.001500	117.837000
249.500000	0.001400	118.408000
249.500000	0.001400	118.980000
249.500000	0.001400	119.552000
249.500000	0.001300	120.130000
249.500000	0.000000	122.058000
249.500000	0.000000	122.816000
249.800000	0.021000	123.388000
249.800000	0.021000	123.960000
255.100000	0.562000	124.531000
255.100000	0.562000	125.099000
