Obj #	Diameter
1	76.38
2	76.6
3	76.12
4	77.8
5	76.31
6	76.43
7	75.41
8	76.61
9	77.6
10	76.67
11	76.64
12	77.73
13	75.89
14	77.06
15	75.93
16	77.26
17	75.89
18	73.75
19	75.55
20	75.65
Stats	Diameter
Min	73.75
(Obj.#)	18
Max	77.8
(Obj.#)	4
Range	4.05
Mean	76.36
Std.Dev	0.91
Sum	1527.28
Samples	20
	
	
Obj #	Diameter
1	55.45
2	53.41
3	55.18
4	55.09
5	55.43
6	53.48
7	54.93
8	54.98
9	55.33
10	55.35
11	54.26
12	54.43
13	54.57
14	55.37
15	55.08
16	54.54
17	55.24
18	54.96
19	54.98
20	54.64
Stats	Diameter
Min	53.41
(Obj.#)	2
Max	55.45
(Obj.#)	1
Range	2.04
Mean	54.84
Std.Dev	0.57
Sum	1096.7
Samples	20
	
	
s2	
Obj #	Diameter
1	77.42
2	76.38
3	75.48
4	76.51
5	76.55
6	77.95
7	77.76
8	76.66
9	76.6
10	76.68
11	77.35
12	76.71
13	77.11
14	76.74
15	73.62
16	77.41
17	77.26
18	77.45
19	77.85
20	78.87
Stats	Diameter
Min	73.62
(Obj.#)	15
Max	78.87
(Obj.#)	20
Range	5.25
Mean	76.92
Std.Dev	1.03
Sum	1538.36
Samples	20
	
	
Obj #	Diameter
1	59.966
2	60.202
3	59.838
4	59.467
5	60.961
6	59.61
7	59.72
8	59.468
9	59.417
10	60.581
11	60.471
12	59.825
13	59.361
14	58.789
15	58.99
16	59.667
17	59.895
18	59.309
19	59.762
20	59.647
21	59.449
22	59.416
Stats	Diameter
Min	58.789
(Obj.#)	14
Max	60.961
(Obj.#)	5
Range	2.172
Mean	59.719
Std.Dev	0.491
Sum	1313.811
Samples	22
	
	
s3	
Obj #	Diameter
1	77.62
2	78.21
3	78.64
4	77.16
5	77.31
6	77.88
7	77.59
8	77.87
9	78.79
10	77.72
11	77.25
12	79.75
13	79
14	78.04
15	78.64
16	77.9
17	78.54
18	78.87
19	78.26
20	78.75
21	77.44
Stats	Diameter
Min	77.16
(Obj.#)	4
Max	79.75
(Obj.#)	12
Range	2.59
Mean	78.15
Std.Dev	0.66
Sum	1641.23
Samples	21
	
	
Obj #	Diameter
1	55.3
2	55.6
3	54.89
4	54.18
5	52.61
6	55.44
7	55.09
8	55.6
9	54.4
10	53.73
11	56.14
12	55.89
13	55.55
14	55.65
15	54.28
16	56
17	56.27
18	56.05
19	55.3
20	54.54
Stats	Diameter
Min	52.61
(Obj.#)	5
Max	56.27
(Obj.#)	17
Range	3.66
Mean	55.13
Std.Dev	0.91
Sum	1102.51
Samples	20
	
	
s4	
Obj #	Diameter
1	76.98
2	75.81
3	77.27
4	78.11
5	75.81
6	78.42
7	78.15
8	77.37
9	77.68
10	77.6
11	76.41
12	76.72
13	76.77
14	76.54
15	77.95
16	77.49
17	76.37
18	74.45
19	77.09
20	77.94
21	77.67
Stats	Diameter
Min	74.45
(Obj.#)	18
Max	78.42
(Obj.#)	6
Range	3.97
Mean	77.08
Std.Dev	0.94
Sum	1618.6
Samples	21
	
	
Obj #	Diameter
1	54.2
2	53.75
3	53.68
4	52.69
5	53.03
6	52.8
7	54.45
8	53.51
9	53.01
10	53.58
11	54.39
12	54.43
13	54.36
14	54.63
15	53.72
16	55.01
17	53.42
18	53.67
19	54.11
20	53.87
21	54.19
22	54.49
23	54.25
24	53.79
25	53.2
Stats	Diameter
Min	52.69
(Obj.#)	4
Max	55.01
(Obj.#)	16
Range	2.32
Mean	53.85
Std.Dev	0.59
Sum	1346.23
Samples	25
	
	
s5	
Obj #	Diameter
1	71.92
2	72.06
3	73.17
4	72.66
5	73.15
6	74.24
7	72.43
8	72.93
9	74.17
10	73.67
11	74.11
12	73.49
13	73.81
14	73.26
15	73.01
16	71.53
17	72.42
18	73.02
19	73.87
20	73.25
Stats	Diameter
Min	71.53
(Obj.#)	16
Max	74.24
(Obj.#)	6
Range	2.71
Mean	73.11
Std.Dev	0.75
Sum	1462.17
Samples	20
	
	
Obj #	Diameter
1	52.44
2	52.76
3	54.03
4	53.85
5	54.03
6	52.91
7	53.17
8	54.47
9	53.29
10	53.66
11	54.02
12	53.62
13	54.86
14	53.08
15	53.96
16	53.73
17	51.9
18	54.18
19	53.98
20	53.64
Stats	Diameter
Min	51.9
(Obj.#)	17
Max	54.86
(Obj.#)	13
Range	2.96
Mean	53.58
Std.Dev	0.69
Sum	1071.58
Samples	20
