Obj #	Diameter
1	77.85
2	78.06
3	77.83
4	77.82
5	77.71
6	78.25
7	77.82
8	77.34
9	77.86
10	76.64
11	77.52
12	77.15
13	77.46
14	75.23
15	76.77
16	77.61
17	77
18	76.74
19	76.39
20	76.11
Stats	Diameter
Min	75.23
(Obj.#)	14
Max	78.25
(Obj.#)	6
Range	3.02
Mean	77.26
Std.Dev	0.74
Sum	1545.16
Samples	20
	
	
Obj #	Diameter
1	54.46
2	54.17
3	54.41
4	53.92
5	54.25
6	54.28
7	54.17
8	54.09
9	54.41
10	53.81
11	54.54
12	54.52
13	54.95
14	53.79
15	54.69
16	55.22
17	55.17
18	55.51
19	54.98
20	54.8
Stats	Diameter
Min	53.79
(Obj.#)	14
Max	55.51
(Obj.#)	18
Range	1.72
Mean	54.51
Std.Dev	0.47
Sum	1090.14
Samples	20
	
	
s2	
Obj #	Diameter
1	75.6
2	75.43
3	75.03
4	75.1
5	75.22
6	75.24
7	75.07
8	75
9	76.14
10	76.57
11	74.82
12	75.08
13	74.76
14	73.84
15	73.87
16	74.17
17	74.02
18	74.24
19	74.05
20	73.7
21	73.83
22	73.38
Stats	Diameter
Min	73.38
(Obj.#)	22
Max	76.57
(Obj.#)	10
Range	3.19
Mean	74.73
Std.Dev	0.81
Sum	1644.16
Samples	22
	
	
Obj #	Diameter
1	57.27
2	56.51
3	57.24
4	56.66
5	57.85
6	57.7
7	56.58
8	57.16
9	57.45
10	57.16
11	57.66
12	59.39
13	58.84
14	58.8
15	57.93
16	57.77
17	57.57
18	57.8
19	57.17
20	57.33
21	58.31
22	58.3
23	57.79
24	57.97
25	57.98
Stats	Diameter
Min	56.51
(Obj.#)	2
Max	59.39
(Obj.#)	12
Range	2.88
Mean	57.69
Std.Dev	0.68
Sum	1442.19
Samples	25
	
	
s3	
Obj #	Diameter
1	74.8
2	74.12
3	75.26
4	74.36
5	73.57
6	75.67
7	75.04
8	74.08
9	72.54
10	75.89
11	75.13
12	75.39
13	73.78
14	73.2
Stats	Diameter
Min	72.54
(Obj.#)	9
Max	75.89
(Obj.#)	10
Range	3.35
Mean	74.49
Std.Dev	0.95
Sum	1042.83
Samples	14
	
	
Obj #	Diameter
1	57.03
2	56.26
3	56.38
4	55.27
5	53.88
6	57.45
7	57.36
8	56.98
9	55.77
10	56.22
11	57.5
12	57.72
13	56.25
14	56.46
15	55.58
16	57.5
17	57.57
18	57.31
19	56.52
20	56.14
21	58.02
22	57.03
23	57.14
Stats	Diameter
Min	53.88
(Obj.#)	5
Max	58.02
(Obj.#)	21
Range	4.14
Mean	56.67
Std.Dev	0.93
Sum	1303.34
Samples	23
	
	
s4	
Obj #	Diameter
1	76.87
2	76.81
3	77.39
4	77.85
5	77.76
6	75.23
7	76.4
8	77.1
9	76.88
10	78.1
11	76.01
12	76.8
13	76.76
14	77.88
15	78.45
16	75.49
17	76.27
18	76.83
19	77.8
20	78.65
21	78.83
Stats	Diameter
Min	75.23
(Obj.#)	6
Max	78.83
(Obj.#)	21
Range	3.6
Mean	77.15
Std.Dev	0.96
Sum	1620.16
Samples	21
	
	
Obj #	Diameter
1	55.51
2	55.33
3	55.31
4	55.79
5	55.58
6	53.47
7	55.51
8	55.64
9	54.76
10	55.13
11	56.11
12	55.21
13	55.68
14	55.16
15	55.92
16	56.24
17	55.91
18	56.33
19	55.63
20	55.78
21	56.07
22	56.15
Stats	Diameter
Min	53.47
(Obj.#)	6
Max	56.33
(Obj.#)	18
Range	2.86
Mean	55.56
Std.Dev	0.6
Sum	1222.22
Samples	22
	
	
s5	
Obj #	Diameter
1	70.42
2	69.92
3	70.13
4	70.32
5	69.88
6	70.79
7	70.91
8	69.54
9	69.32
10	69.83
11	69.61
12	69.54
13	70.35
14	69.71
15	69.92
16	70.85
17	70.16
18	67.91
19	70.27
20	70.11
21	68.85
Stats	Diameter
Min	67.91
(Obj.#)	18
Max	70.91
(Obj.#)	7
Range	3
Mean	69.92
Std.Dev	0.67
Sum	1468.34
Samples	21
	
	
Obj #	Diameter
1	52.9
2	52.36
3	53.22
4	53.9
5	53.27
6	54.76
7	54.27
8	53.51
9	53.24
10	53.74
11	53.09
12	54.31
13	52.98
14	54
15	53.86
16	53.66
17	52.96
18	55.92
19	52.49
20	54.43
21	53.96
22	52.9
Stats	Diameter
Min	52.36
(Obj.#)	2
Max	55.92
(Obj.#)	18
Range	3.56
Mean	53.62
Std.Dev	0.8
Sum	1179.73
Samples	22
