Obj #	Diameter
1	74.92
2	74.69
3	73.78
4	74.84
5	74.44
6	74.12
7	73.71
8	75.23
9	74.9
10	73.85
11	74.38
12	75.7
13	72.14
14	73.71
15	74.07
16	73.37
17	73.55
18	74.82
19	72.31
20	75.29
Stats	Diameter
Min	72.14
(Obj.#)	13
Max	75.7
(Obj.#)	12
Range	3.56
Mean	74.19
Std.Dev	0.9
Sum	1483.82
Samples	20
	
	
Obj #	Diameter
1	45.77
2	45.05
3	44.71
4	45
5	44.72
6	44.39
7	45.35
8	46.04
9	45.14
10	44.83
11	43.89
12	45.7
13	45.48
14	45.11
15	44.61
16	45.38
17	42.9
18	45.33
19	45.87
20	45.65
21	45.2
Stats	Diameter
Min	42.9
(Obj.#)	17
Max	46.04
(Obj.#)	8
Range	3.14
Mean	45.05
Std.Dev	0.7
Sum	946.12
Samples	21
	
	
s2	
Obj #	Diameter
1	76.002
2	76.038
3	75.927
4	75.686
5	77.188
6	76.829
7	75.854
8	75.867
9	73.709
10	74.538
11	75.619
12	75.627
13	76.145
14	74.389
15	76.099
16	75.126
17	74.611
18	74.834
19	75.51
20	75.824
21	76.07
22	74.691
23	75.137
24	75.534
25	75.058
Stats	Diameter
Min	73.709
(Obj.#)	9
Max	77.188
(Obj.#)	5
Range	3.479
Mean	75.516
Std.Dev	0.764
Sum	1887.912
Samples	25
	
	
Obj #	Diameter
1	49.16
2	48.88
3	48.5
4	48.91
5	49.32
6	49.48
7	49.41
8	48.92
9	48.01
10	48.3
11	48.65
12	49.02
13	49.32
14	49.1
15	48.89
16	47.97
17	48.7
18	49.24
19	48.91
20	49.35
21	49.49
22	48.84
23	49.08
24	48.87
25	49.48
Stats	Diameter
Min	47.97
(Obj.#)	16
Max	49.49
(Obj.#)	21
Range	1.52
Mean	48.95
Std.Dev	0.42
Sum	1223.8
Samples	25
	
	
s3	
Obj #	Diameter
1	76.41
2	76.43
3	76.59
4	78.04
5	78.42
6	76.94
7	76.92
8	77.17
9	77.01
10	76.42
11	76.93
12	74.78
13	76.28
14	76.41
15	78.28
16	75.84
17	75.77
18	76.04
19	76.59
20	77.28
Stats	Diameter
Min	74.78
(Obj.#)	12
Max	78.42
(Obj.#)	5
Range	3.64
Mean	76.73
Std.Dev	0.85
Sum	1534.55
Samples	20
	
	
Obj #	Diameter
1	50.11
2	48.07
3	46.35
4	49.23
5	47.71
6	49.39
7	50.16
8	49.25
9	48.77
10	48.3
11	49.61
12	50.13
13	49.57
14	49.33
15	49.7
16	50.19
17	48.91
18	49.27
19	49.7
20	49.4
Stats	Diameter
Min	46.35
(Obj.#)	3
Max	50.19
(Obj.#)	16
Range	3.84
Mean	49.16
Std.Dev	0.93
Sum	983.15
Samples	20
	
	
s4	
Obj #	Diameter
1	77.91
2	74.88
3	76.43
4	77.31
5	76.9
6	77.25
7	75.46
8	76.2
9	76.64
10	76.79
11	76.51
12	76.68
13	76.09
14	75.86
15	76.35
16	76.45
17	74.09
18	74.47
19	76.91
20	74.93
Stats	Diameter
Min	74.09
(Obj.#)	17
Max	77.91
(Obj.#)	1
Range	3.82
Mean	76.21
Std.Dev	0.97
Sum	1524.11
Samples	20
	
	
Obj #	Diameter
1	46.61
2	45.61
3	45.87
4	46.54
5	46.4
6	47.23
7	46.72
8	45.72
9	45.88
10	46.53
11	46.53
12	46.61
13	46.61
14	45.76
15	45.89
16	46.39
17	46.06
18	46.25
19	45.15
20	44.3
21	46.54
22	45.58
Stats	Diameter
Min	44.3
(Obj.#)	20
Max	47.23
(Obj.#)	6
Range	2.93
Mean	46.13
Std.Dev	0.62
Sum	1014.78
Samples	22
	
	
s5	
Obj #	Diameter
1	72.54
2	74
3	73.75
4	73.03
5	70.44
6	70.36
7	72.72
8	73.62
9	71.32
10	69.25
11	71.1
12	74.36
13	72.16
14	72.4
15	70.09
16	72.36
17	73.53
18	74.28
19	71.69
20	71.18
21	71.89
Stats	Diameter
Min	69.25
(Obj.#)	10
Max	74.36
(Obj.#)	12
Range	5.11
Mean	72.19
Std.Dev	1.42
Sum	1516.07
Samples	21
	
	
Obj #	Diameter
1	46.1
2	46.99
3	46.7
4	47.15
5	45.99
6	45.51
7	46.57
8	46.83
9	45.8
10	45.65
11	46.05
12	46.84
13	47.14
14	45.94
15	46.19
16	45.82
17	46.99
18	46.64
19	47.01
20	46.01
21	45.41
22	46.54
Stats	Diameter
Min	45.41
(Obj.#)	21
Max	47.15
(Obj.#)	4
Range	1.74
Mean	46.36
Std.Dev	0.54
Sum	1019.87
Samples	22
