Obj #	Diameter
1	76.3
2	75.48
3	76.08
4	76.01
5	76.32
6	76.1
7	75.87
8	75.58
9	76.3
10	76.34
11	75.72
12	75.75
13	75.38
14	74.72
15	75.45
16	74.77
17	75.38
18	75.13
19	74.79
20	75.49
Stats	Diameter
Min	74.72
(Obj.#)	14
Max	76.34
(Obj.#)	10
Range	1.62
Mean	75.65
Std.Dev	0.51
Sum	1512.96
Samples	20
	
	
Obj #	Diameter
1	46.82
2	46.48
3	46.88
4	46.98
5	47.27
6	47.55
7	46.59
8	47.76
9	47.95
10	47.03
11	47.73
12	47.61
13	47.23
14	47.49
15	47.47
16	47.24
17	45.85
18	47.26
19	46.03
20	47.8
21	47.95
22	48.05
Stats	Diameter
Min	45.85
(Obj.#)	17
Max	48.05
(Obj.#)	22
Range	2.2
Mean	47.23
Std.Dev	0.59
Sum	1039.02
Samples	22
	
	
s2	
Obj #	Diameter
1	76.905
2	76.612
3	76.495
4	76.702
5	77.222
6	76.322
7	76.441
8	75.704
9	76.083
10	76.381
11	76.528
12	75.887
13	76.53
14	76.791
15	76.464
16	76.988
17	77.078
18	76.045
19	73.583
20	75.435
Stats	Diameter
Min	73.583
(Obj.#)	19
Max	77.222
(Obj.#)	5
Range	3.639
Mean	76.31
Std.Dev	0.767
Sum	1526.196
Samples	20
	
	
Obj #	Diameter
1	49.468
2	48.512
3	49.368
4	49.759
5	49.299
6	49.577
7	49.872
8	48.617
9	49.807
10	49.499
11	49.965
12	49.326
13	49.281
14	49.508
15	49.875
16	50.108
17	49.713
18	49.275
19	48.172
20	49.105
Stats	Diameter
Min	48.172
(Obj.#)	19
Max	50.108
(Obj.#)	16
Range	1.936
Mean	49.405
Std.Dev	0.488
Sum	988.106
Samples	20
	
	
s3	
Obj #	Diameter
1	74.305
2	75.078
3	75.649
4	76.849
5	74.171
6	73.179
7	72.605
8	75.298
9	74.175
10	74.845
11	73.683
12	73.507
13	74.542
14	74.601
15	73.702
16	74.075
17	74.299
Stats	Diameter
Min	72.605
(Obj.#)	7
Max	76.849
(Obj.#)	4
Range	4.244
Mean	74.386
Std.Dev	0.965
Sum	1264.563
Samples	17
	
	
Obj #	Diameter
1	47.989
2	47.659
3	47.355
4	46.406
5	46.897
6	47.939
7	48.166
8	46.685
9	47.549
10	47.722
11	47.845
12	49.294
13	47.978
14	48.217
15	48.375
16	48.275
17	48.538
18	48.452
19	47.364
20	47.317
Stats	Diameter
Min	46.406
(Obj.#)	4
Max	49.294
(Obj.#)	12
Range	2.888
Mean	47.801
Std.Dev	0.666
Sum	956.022
Samples	20
	
	
s4	
Obj #	Diameter
1	74.262
2	75.154
3	75.212
4	75.527
5	76.119
6	75.469
7	74.714
8	74.532
9	75.092
10	76.361
11	76.055
12	75.121
13	75.256
14	74.082
15	76.384
16	76.064
17	75.125
18	75.026
19	75.054
20	76.946
21	75.791
22	75.623
23	75.243
24	74.644
Stats	Diameter
Min	74.082
(Obj.#)	14
Max	76.946
(Obj.#)	20
Range	2.864
Mean	75.369
Std.Dev	0.688
Sum	1808.856
Samples	24
	
	
Obj #	Diameter
1	45.413
2	44.053
3	44.347
4	44.089
5	45.56
6	45.173
7	45.604
8	45.209
9	45.448
10	45.738
11	45.451
12	45.464
13	44.732
14	45.948
15	45.595
16	45.804
17	45.409
18	46.128
19	45.266
20	45.417
21	46.128
22	44.322
23	45.575
24	45.85
25	44.468
Stats	Diameter
Min	44.053
(Obj.#)	2
Max	46.128
(Obj.#)	18
Range	2.075
Mean	45.288
Std.Dev	0.596
Sum	1132.191
Samples	25
	
	
s5	
Obj #	Diameter
1	73.863
2	73.682
3	74.586
4	73.788
5	74.976
6	74.619
7	74.221
8	73.751
9	74.167
10	74.076
11	74.484
12	73.643
13	74.292
14	74.316
15	74.895
16	74.651
17	74.011
18	74.162
19	73.98
20	75.095
Stats	Diameter
Min	73.64
(Obj.#)	12
Max	75.09
(Obj.#)	20
Range	1.45
Mean	74.26
Std.Dev	0.42
Sum	1485.26
Samples	20
	
	
Obj #	Diameter
1	48.19
2	47.85
3	47.73
4	47.95
5	46.19
6	47.56
7	48.61
8	48.05
9	46.55
10	47
11	47.6
12	48.64
13	46.35
14	47.53
15	47.6
16	47.25
17	47.89
18	47.65
19	47.07
20	47.27
21	47.93
22	45.36
Stats	Diameter
Min	45.36
(Obj.#)	22
Max	48.64
(Obj.#)	12
Range	3.28
Mean	47.45
Std.Dev	0.77
Sum	1043.82
Samples	22
