Channel_number:	CH2
Foil_name:	GE21-FOIL-M3-G12-KR-B02-0022
Production-delivery_date:	
User_name:	
Time_stamp:	20220217_20-14
Voltage (V)	Current (uA)	Time (s)
0.000000	0.000000	1.872000
0.000000	0.000000	2.442000
0.000000	0.000000	3.012000
0.000000	0.012000	3.585000
0.000000	0.012000	4.165000
0.000000	0.012000	4.738000
0.000000	2.374000	5.312000
23.600000	2.374000	5.883000
23.600000	2.374000	6.462000
23.600000	2.374000	7.032000
38.500000	1.935000	7.604000
38.500000	1.935000	8.175000
53.600000	1.833000	8.753000
53.600000	1.833000	9.323000
53.600000	1.833000	9.899000
68.800000	1.806000	10.470000
68.800000	1.806000	11.051000
83.900000	1.802000	11.623000
83.900000	1.802000	12.201000
83.900000	1.584000	12.961000
97.200000	1.584000	13.533000
97.200000	1.584000	14.105000
97.200000	0.464000	14.678000
99.400000	0.464000	15.248000
99.400000	0.464000	15.820000
99.400000	0.099000	16.393000
99.400000	0.099000	16.964000
99.400000	0.099000	17.538000
99.400000	0.025000	18.106000
99.400000	0.025000	18.686000
99.400000	0.009000	19.258000
99.400000	0.009000	19.829000
99.400000	0.009000	20.400000
99.400000	0.005000	20.973000
99.400000	0.005000	21.544000
99.400000	0.004000	22.116000
99.400000	0.004000	22.694000
99.400000	0.004000	23.274000
99.400000	0.003000	23.853000
99.400000	0.003000	24.424000
99.400000	0.003000	24.997000
99.400000	0.003000	25.577000
99.400000	0.003000	26.155000
99.400000	0.003000	26.728000
99.500000	0.003000	27.300000
99.500000	0.003000	27.871000
99.500000	0.003000	28.450000
99.500000	0.000000	30.433000
99.500000	0.000000	31.198000
99.500000	0.000000	31.769000
99.500000	0.000000	32.346000
99.500000	0.000000	32.927000
99.400000	0.000850	33.498000
99.400000	0.000850	34.072000
99.500000	0.000950	34.639000
99.500000	0.000950	35.211000
99.500000	0.000950	35.784000
99.500000	0.000600	36.363000
99.400000	0.000600	36.938000
99.400000	0.001350	37.509000
99.500000	0.001350	38.089000
99.500000	0.001350	38.662000
99.500000	0.001350	39.242000
99.500000	0.000300	39.820000
99.500000	0.000300	40.390000
99.500000	0.000750	40.961000
99.500000	0.000750	41.536000
99.500000	0.000750	42.107000
99.500000	0.000850	42.679000
99.500000	0.000850	43.251000
99.500000	0.000300	43.820000
99.500000	0.000300	44.402000
99.500000	0.000300	44.974000
99.500000	0.000800	45.547000
99.500000	0.000800	46.117000
99.500000	0.000700	46.696000
99.500000	0.000000	48.712000
99.500000	0.000000	49.283000
102.500000	0.000000	49.856000
102.500000	0.367000	50.430000
102.500000	0.367000	51.002000
116.300000	1.426000	51.573000
116.300000	1.426000	52.154000
116.300000	1.718000	52.732000
116.300000	1.718000	53.311000
131.400000	1.718000	53.888000
131.400000	1.784000	54.466000
146.600000	1.784000	55.045000
146.600000	1.784000	55.623000
146.600000	1.784000	56.201000
161.800000	1.798000	56.784000
161.800000	1.798000	57.367000
176.800000	1.799000	57.946000
176.800000	1.799000	58.515000
191.900000	1.799000	59.279000
191.900000	1.799000	59.850000
191.900000	1.799000	60.429000
199.400000	0.958000	61.009000
199.400000	0.958000	61.579000
199.400000	0.207000	62.154000
199.500000	0.207000	62.733000
199.500000	0.207000	63.313000
199.500000	0.046000	63.890000
199.500000	0.046000	64.462000
199.500000	0.046000	65.041000
199.500000	0.013000	65.612000
199.500000	0.013000	66.192000
199.500000	0.013000	66.772000
199.500000	0.007000	67.351000
199.500000	0.007000	67.931000
199.500000	0.004000	68.508000
199.500000	0.004000	69.085000
199.500000	0.004000	69.664000
199.500000	0.003000	70.244000
199.500000	0.003000	70.820000
199.500000	0.003000	71.398000
199.500000	0.003000	71.979000
199.500000	0.003000	72.554000
199.500000	0.003000	73.125000
199.500000	0.003000	73.704000
199.500000	0.003000	74.286000
199.600000	0.000000	76.276000
199.600000	0.000000	77.035000
199.500000	0.000050	77.612000
199.500000	0.000050	78.188000
199.500000	0.000050	78.768000
199.500000	0.000650	79.348000
199.500000	0.000650	79.926000
199.500000	0.001050	80.503000
199.600000	0.001050	81.081000
199.600000	0.001050	81.659000
199.600000	0.001050	82.237000
199.500000	0.000850	82.810000
199.500000	0.000850	83.388000
199.500000	0.000350	83.967000
199.500000	0.000350	84.540000
199.500000	0.000350	85.119000
199.500000	0.000700	85.699000
199.500000	0.000700	86.278000
199.500000	0.001000	86.856000
199.500000	0.001000	87.432000
199.500000	0.001000	88.014000
199.500000	0.000400	88.588000
199.500000	0.000400	89.167000
199.500000	0.001400	89.747000
199.500000	0.001400	90.327000
199.500000	0.001400	90.903000
199.500000	0.001400	91.481000
199.500000	0.000700	92.059000
199.500000	0.000000	94.049000
199.500000	0.000000	94.629000
199.600000	0.000000	95.199000
199.600000	0.496000	95.781000
199.600000	0.496000	96.361000
204.100000	0.496000	96.940000
204.100000	0.496000	97.514000
211.600000	0.805000	98.085000
211.600000	0.805000	98.663000
211.600000	0.805000	99.243000
219.000000	0.872000	99.817000
219.000000	0.872000	100.395000
226.500000	0.883000	100.977000
226.500000	0.883000	101.555000
234.000000	0.888000	102.127000
