Channel_number:	CH3
Foil_name:	GE21-FOIL-M3-G3-KR-B02-0001
Production-delivery_date:	
User_name:	
Time_stamp:	20220209_20-05
Voltage (V)	Current (uA)	Time (s)
0.000000	0.000000	1.871000
0.000000	0.000000	2.442000
0.000000	0.000000	3.012000
0.000000	0.000000	3.585000
0.000000	0.440000	4.156000
2.700000	0.440000	4.729000
2.700000	0.440000	5.300000
26.700000	2.439000	5.871000
26.700000	2.439000	6.460000
26.700000	2.439000	7.030000
41.900000	1.991000	7.610000
41.900000	1.991000	8.190000
57.200000	1.888000	8.761000
57.200000	1.888000	9.340000
57.200000	1.888000	9.912000
72.400000	1.868000	10.499000
72.400000	1.868000	11.078000
87.600000	1.865000	11.650000
87.600000	1.865000	12.411000
87.600000	1.865000	12.980000
87.600000	1.389000	13.564000
99.000000	1.389000	14.136000
99.000000	1.389000	14.708000
99.900000	0.319000	15.279000
99.900000	0.319000	15.865000
99.900000	0.319000	16.439000
99.900000	0.066000	17.009000
99.900000	0.066000	17.580000
99.900000	0.018000	18.149000
99.900000	0.018000	18.728000
99.900000	0.018000	19.300000
99.900000	0.009000	19.875000
99.900000	0.009000	20.453000
99.900000	0.006000	21.025000
99.900000	0.006000	21.605000
99.900000	0.006000	22.175000
99.900000	0.005000	22.749000
99.900000	0.005000	23.320000
99.900000	0.004000	23.893000
99.900000	0.004000	24.481000
99.900000	0.004000	25.052000
99.900000	0.004000	25.622000
99.900000	0.005000	26.195000
99.900000	0.005000	26.774000
99.900000	0.005000	27.345000
99.900000	0.005000	27.922000
99.900000	0.000000	29.912000
99.900000	0.000000	30.670000
99.900000	0.000000	31.241000
99.900000	0.000800	31.813000
99.900000	0.000800	32.385000
99.900000	0.000800	32.956000
99.900000	0.001700	33.527000
99.900000	0.001700	34.115000
99.900000	0.001350	34.694000
99.900000	0.001350	35.273000
99.900000	0.001350	35.844000
99.900000	0.002400	36.419000
99.900000	0.002400	37.005000
99.900000	0.002400	37.578000
99.900000	0.002400	38.151000
99.900000	0.002050	38.737000
99.900000	0.002050	39.308000
99.900000	0.001900	39.884000
99.900000	0.001900	40.455000
99.900000	0.001900	41.036000
99.900000	0.001500	41.624000
99.900000	0.001500	42.194000
99.900000	0.001250	42.766000
99.900000	0.001250	43.337000
99.900000	0.001250	43.909000
99.900000	0.001150	44.495000
99.900000	0.001150	45.068000
99.900000	0.001850	45.638000
99.900000	0.001850	46.211000
100.000000	0.000000	48.195000
100.100000	0.000000	48.768000
100.100000	0.000000	49.347000
100.100000	0.000000	49.915000
109.600000	1.133000	50.487000
109.600000	1.133000	51.058000
109.600000	1.714000	51.637000
124.800000	1.714000	52.217000
124.800000	1.714000	52.787000
124.800000	1.829000	53.361000
140.100000	1.829000	53.946000
140.100000	1.829000	54.526000
155.300000	1.854000	55.101000
155.300000	1.854000	55.680000
155.300000	1.854000	56.253000
170.400000	1.856000	56.833000
170.400000	1.856000	57.418000
185.600000	1.859000	57.989000
185.600000	1.859000	58.754000
198.300000	1.527000	59.327000
198.300000	1.527000	59.920000
198.300000	1.527000	60.502000
200.000000	0.385000	61.080000
200.000000	0.385000	61.658000
200.000000	0.074000	62.234000
200.000000	0.074000	62.804000
200.000000	0.074000	63.378000
200.000000	0.074000	63.949000
200.000000	0.019000	64.527000
200.000000	0.019000	65.114000
200.000000	0.019000	65.686000
200.000000	0.009000	66.266000
200.000000	0.009000	66.846000
200.000000	0.006000	67.425000
200.000000	0.006000	67.996000
200.000000	0.006000	68.575000
200.000000	0.005000	69.156000
200.000000	0.005000	69.734000
200.000000	0.005000	70.313000
200.000000	0.005000	70.890000
200.000000	0.005000	71.469000
200.000000	0.005000	72.040000
200.000000	0.005000	72.620000
200.000000	0.004000	73.192000
200.000000	0.004000	73.780000
200.000000	0.000000	75.735000
200.000000	0.000000	76.492000
200.000000	0.000000	77.064000
200.000000	0.001750	77.636000
200.000000	0.001750	78.206000
200.000000	0.001750	78.779000
200.000000	0.001950	79.350000
200.000000	0.001950	79.938000
200.000000	0.001950	80.516000
200.000000	0.001950	81.087000
200.000000	0.002350	81.659000
200.000000	0.002350	82.231000
200.000000	0.001700	82.803000
200.000000	0.001700	83.390000
200.000000	0.001700	83.961000
200.000000	0.001550	84.556000
200.000000	0.001550	85.127000
200.000000	0.001950	85.702000
200.000000	0.001950	86.275000
200.000000	0.001950	86.854000
200.000000	0.002150	87.441000
200.000000	0.002150	88.021000
200.000000	0.001150	88.599000
200.000000	0.001150	89.178000
200.000000	0.001150	89.757000
200.000000	0.001150	90.337000
200.000000	0.001350	90.916000
200.000000	0.001350	91.497000
200.000000	0.000000	93.512000
200.000000	0.000000	94.082000
200.000000	0.233000	94.654000
201.600000	0.233000	95.249000
201.600000	0.233000	95.821000
201.600000	0.233000	96.392000
208.700000	0.773000	96.970000
208.700000	0.773000	97.558000
216.100000	0.889000	98.128000
216.100000	0.889000	98.723000
