Channel_number:	CH4
Foil_name:	GE21-FOIL-M3-G12-KR-B02-0023
Production-delivery_date:	
User_name:	
Time_stamp:	20220217_16-58
Voltage (V)	Current (uA)	Time (s)
0.000000	0.000000	1.870000
0.000000	0.000000	2.458000
0.000000	0.000000	3.029000
0.000000	0.003000	3.601000
0.000000	0.003000	4.174000
0.000000	1.696000	4.744000
13.100000	1.696000	5.332000
13.100000	1.696000	5.911000
13.100000	1.696000	6.492000
33.500000	2.131000	7.071000
33.500000	2.131000	7.661000
48.800000	1.941000	8.230000
48.800000	1.941000	8.815000
48.800000	1.941000	9.396000
63.900000	1.880000	9.974000
63.900000	1.880000	10.556000
79.000000	1.866000	11.129000
79.000000	1.866000	11.723000
93.800000	1.833000	12.490000
93.800000	1.833000	13.067000
93.800000	1.833000	13.639000
93.800000	0.774000	14.217000
99.100000	0.774000	14.798000
99.100000	0.166000	15.368000
99.100000	0.166000	15.947000
99.200000	0.166000	16.532000
99.200000	0.166000	17.103000
99.200000	0.042000	17.682000
99.200000	0.042000	18.258000
99.200000	0.014000	18.827000
99.200000	0.014000	19.415000
99.200000	0.014000	19.992000
99.200000	0.008000	20.566000
99.200000	0.008000	21.150000
99.200000	0.006000	21.726000
99.200000	0.006000	22.298000
99.200000	0.006000	22.871000
99.200000	0.006000	23.450000
99.200000	0.006000	24.022000
99.200000	0.006000	24.590000
99.200000	0.006000	25.169000
99.200000	0.006000	25.739000
99.200000	0.006000	26.315000
99.200000	0.006000	26.886000
99.200000	0.006000	27.457000
99.200000	0.006000	28.032000
99.200000	0.000000	30.036000
99.200000	0.000000	30.810000
99.200000	0.000000	31.380000
99.200000	0.000000	31.962000
99.200000	0.000000	32.533000
99.200000	0.001150	33.114000
99.200000	0.001150	33.701000
99.200000	0.001100	34.274000
99.200000	0.001100	34.866000
99.200000	0.001100	35.448000
99.200000	0.001650	36.019000
99.200000	0.001650	36.589000
99.200000	0.001450	37.170000
99.200000	0.001450	37.755000
99.200000	0.001450	38.326000
