Channel_number:	CH5
Foil_name:	GE21-FOIL-M3-G12-KR-B02-0025
Production-delivery_date:	
User_name:	
Time_stamp:	20220214_20-02
Voltage (V)	Current (uA)	Time (s)
0.000000	0.000000	1.871000
0.000000	0.000000	2.452000
0.000000	0.000000	3.030000
0.000000	0.000000	3.601000
0.000000	0.000000	4.173000
2.100000	0.302000	4.745000
2.100000	0.302000	5.317000
26.200000	2.389000	5.889000
26.200000	2.389000	6.484000
26.200000	2.389000	7.054000
41.400000	1.935000	7.623000
41.400000	1.935000	8.195000
56.500000	1.831000	8.766000
56.500000	1.831000	9.362000
56.500000	1.831000	9.932000
71.700000	1.804000	10.508000
71.700000	1.804000	11.077000
71.700000	1.801000	11.651000
86.800000	1.801000	12.427000
86.800000	1.801000	12.997000
86.800000	1.801000	13.568000
98.400000	1.376000	14.155000
98.400000	1.376000	14.734000
99.300000	0.339000	15.304000
99.300000	0.339000	15.877000
99.300000	0.339000	16.447000
99.300000	0.075000	17.027000
99.300000	0.075000	17.607000
99.300000	0.021000	18.177000
99.300000	0.021000	18.748000
99.300000	0.021000	19.320000
99.300000	0.009000	19.897000
99.300000	0.009000	20.468000
99.300000	0.006000	21.039000
99.300000	0.006000	21.616000
99.300000	0.006000	22.187000
99.300000	0.006000	22.760000
99.400000	0.006000	23.331000
99.400000	0.006000	23.911000
99.400000	0.005000	24.479000
99.400000	0.005000	25.066000
99.400000	0.005000	25.644000
99.400000	0.005000	26.216000
99.400000	0.005000	26.793000
99.400000	0.005000	27.373000
99.400000	0.005000	27.950000
99.400000	0.000000	29.931000
99.400000	0.000000	30.705000
99.400000	0.000000	31.277000
99.400000	0.000000	31.857000
99.400000	0.000650	32.446000
99.400000	0.000650	33.016000
99.400000	0.001350	33.587000
99.400000	0.001350	34.167000
99.400000	0.001350	34.736000
99.400000	0.002100	35.329000
99.400000	0.002100	35.909000
99.400000	0.001250	36.480000
99.400000	0.001250	37.055000
99.400000	0.002550	37.624000
99.400000	0.002550	38.210000
99.400000	0.002550	38.792000
99.400000	0.002550	39.362000
99.400000	0.001000	39.942000
99.400000	0.001000	40.534000
99.400000	0.001000	41.104000
99.400000	0.001050	41.677000
99.400000	0.001050	42.257000
99.400000	0.002450	42.827000
99.400000	0.002450	43.406000
99.400000	0.002450	43.986000
99.400000	0.001550	44.574000
99.400000	0.001550	45.144000
99.400000	0.001250	45.720000
99.400000	0.000000	47.712000
99.400000	0.000000	48.291000
101.100000	0.218000	48.860000
101.100000	0.218000	49.456000
101.100000	0.218000	50.032000
114.000000	1.328000	50.613000
114.000000	1.328000	51.185000
129.100000	1.698000	51.764000
129.100000	1.698000	52.358000
129.100000	1.698000	52.937000
129.100000	1.779000	53.519000
144.300000	1.779000	54.106000
144.300000	1.795000	54.685000
159.500000	1.795000	55.263000
159.500000	1.795000	55.838000
159.500000	1.795000	56.418000
174.600000	1.797000	57.004000
174.600000	1.797000	57.584000
189.700000	1.796000	58.355000
189.700000	1.796000	58.943000
199.000000	1.142000	59.522000
199.000000	1.142000	60.101000
199.000000	1.142000	60.679000
199.300000	0.256000	61.264000
199.300000	0.256000	61.850000
199.300000	0.058000	62.423000
199.300000	0.058000	63.002000
199.300000	0.058000	63.585000
199.300000	0.018000	64.152000
199.300000	0.018000	64.722000
199.300000	0.018000	65.292000
199.300000	0.018000	65.863000
199.300000	0.009000	66.453000
199.300000	0.009000	67.030000
199.300000	0.007000	67.611000
199.300000	0.007000	68.189000
199.300000	0.006000	68.757000
199.300000	0.006000	69.337000
199.300000	0.006000	69.913000
199.300000	0.006000	70.494000
199.300000	0.006000	71.072000
199.500000	0.006000	71.647000
199.500000	0.006000	72.220000
199.500000	0.006000	72.798000
199.500000	0.005000	73.379000
199.500000	0.000000	75.369000
199.500000	0.000000	76.136000
199.300000	0.000450	76.737000
199.300000	0.000450	77.315000
199.300000	0.001150	77.893000
199.300000	0.001150	78.472000
199.300000	0.001150	79.050000
199.300000	0.001800	79.646000
199.300000	0.001800	80.216000
199.300000	0.001800	80.793000
199.500000	0.002400	81.374000
199.500000	0.002400	81.976000
199.500000	0.002400	82.558000
199.300000	0.002300	83.161000
199.300000	0.002300	83.739000
199.500000	0.002300	84.318000
199.500000	0.002300	84.898000
199.500000	0.002300	85.476000
199.500000	0.001950	86.070000
199.500000	0.001950	86.653000
199.500000	0.001550	87.228000
199.500000	0.001550	87.815000
199.500000	0.001950	88.388000
199.500000	0.001950	88.967000
199.500000	0.001950	89.547000
199.500000	0.001950	90.128000
199.500000	0.001650	90.706000
199.500000	0.001650	91.284000
199.300000	0.000000	93.240000
199.300000	0.000000	93.836000
199.300000	0.000000	94.413000
199.300000	0.313000	95.001000
202.100000	0.313000	95.588000
202.100000	0.313000	96.168000
209.400000	0.760000	96.746000
209.400000	0.760000	97.342000
209.400000	0.760000	97.924000
216.900000	0.861000	98.503000
216.900000	0.861000	99.083000
