Channel_number:	CH6
Foil_name:	GE21-FOIL-M3-G12-KR-B02-0020
Production-delivery_date:	
User_name:	
Time_stamp:	20220217_22-56
Voltage (V)	Current (uA)	Time (s)
0.000000	0.000000	1.872000
0.000000	0.000000	2.449000
0.000000	0.000000	3.020000
0.000000	0.000000	3.590000
0.900000	0.137000	4.169000
0.900000	0.137000	4.748000
0.900000	2.418000	5.321000
0.900000	2.418000	5.893000
25.400000	2.418000	6.470000
25.400000	1.917000	7.048000
40.200000	1.917000	7.624000
40.200000	1.917000	8.198000
40.200000	1.917000	8.770000
55.500000	1.815000	9.362000
55.500000	1.815000	9.935000
70.700000	1.789000	10.510000
70.700000	1.789000	11.081000
70.700000	1.789000	11.659000
85.800000	1.787000	12.256000
85.800000	1.787000	13.032000
97.900000	1.430000	13.618000
97.900000	1.430000	14.190000
97.900000	0.365000	14.766000
99.100000	0.365000	15.339000
99.100000	0.365000	15.915000
99.100000	0.078000	16.503000
99.200000	0.078000	17.072000
99.200000	0.078000	17.649000
99.200000	0.021000	18.220000
99.200000	0.021000	18.809000
99.200000	0.021000	19.382000
99.200000	0.007000	19.954000
99.200000	0.007000	20.533000
99.200000	0.005000	21.112000
99.200000	0.005000	21.691000
99.200000	0.005000	22.263000
99.200000	0.004000	22.836000
99.200000	0.004000	23.414000
99.200000	0.004000	23.987000
99.200000	0.004000	24.560000
99.200000	0.004000	25.129000
99.200000	0.004000	25.710000
99.200000	0.004000	26.280000
99.200000	0.003000	26.861000
99.200000	0.003000	27.443000
99.200000	0.003000	28.014000
99.200000	0.003000	28.585000
99.200000	0.000000	30.546000
99.200000	0.000000	31.305000
99.200000	0.000000	31.877000
99.200000	0.000000	32.447000
99.200000	0.001450	33.018000
99.200000	0.001450	33.606000
99.200000	0.001450	34.177000
99.200000	0.001450	34.750000
99.200000	0.001900	35.323000
99.200000	0.001900	35.916000
99.200000	0.001350	36.488000
99.200000	0.001350	37.060000
99.200000	0.001350	37.633000
99.200000	0.001200	38.203000
99.200000	0.001200	38.801000
99.200000	0.001500	39.372000
99.200000	0.001500	39.967000
99.200000	0.001500	40.541000
99.200000	0.001150	41.110000
99.200000	0.001150	41.684000
99.200000	0.001050	42.254000
99.200000	0.001050	42.851000
99.200000	0.001050	43.429000
99.200000	0.001050	44.001000
99.200000	0.002050	44.580000
99.200000	0.002050	45.174000
99.200000	0.000550	45.754000
99.200000	0.000550	46.335000
99.200000	0.000000	48.327000
99.300000	0.000000	48.922000
99.300000	0.000000	49.495000
99.300000	0.000000	50.071000
106.800000	0.835000	50.656000
106.800000	0.835000	51.242000
121.800000	1.582000	51.822000
121.800000	1.582000	52.415000
121.800000	1.582000	52.994000
137.000000	1.742000	53.572000
137.000000	1.742000	54.150000
152.200000	1.777000	54.727000
152.200000	1.777000	55.324000
152.200000	1.777000	55.901000
152.200000	1.781000	56.484000
167.300000	1.781000	57.070000
167.300000	1.780000	57.641000
182.400000	1.780000	58.221000
182.400000	1.780000	58.988000
196.300000	1.621000	59.561000
196.300000	1.621000	60.156000
196.300000	1.621000	60.735000
199.200000	0.520000	61.315000
199.200000	0.520000	61.901000
199.200000	0.110000	62.481000
199.200000	0.110000	63.058000
199.200000	0.110000	63.637000
199.200000	0.027000	64.217000
199.200000	0.027000	64.809000
199.300000	0.010000	65.389000
199.300000	0.010000	65.983000
199.300000	0.010000	66.562000
199.300000	0.005000	67.140000
199.300000	0.005000	67.720000
199.300000	0.005000	68.298000
199.300000	0.004000	68.876000
199.300000	0.004000	69.455000
199.300000	0.004000	70.035000
199.300000	0.004000	70.614000
199.300000	0.004000	71.185000
199.300000	0.003000	71.763000
199.300000	0.003000	72.341000
199.300000	0.003000	72.920000
199.300000	0.004000	73.497000
199.300000	0.004000	74.083000
199.300000	0.000000	76.098000
199.300000	0.000000	76.855000
199.300000	0.000000	77.437000
199.300000	0.000500	78.015000
199.300000	0.000500	78.608000
199.300000	0.000500	79.189000
199.300000	0.001150	79.769000
199.300000	0.001150	80.348000
199.300000	0.000950	80.925000
199.300000	0.000950	81.507000
199.300000	0.000950	82.085000
199.300000	0.001850	82.673000
199.300000	0.001850	83.250000
199.300000	0.001200	83.834000
199.300000	0.001200	84.411000
199.300000	0.001200	84.989000
199.300000	0.001200	85.572000
199.300000	0.001450	86.151000
199.300000	0.001450	86.723000
199.300000	0.001600	87.300000
199.300000	0.001600	87.895000
199.300000	0.001600	88.472000
199.300000	0.001150	89.047000
199.300000	0.001150	89.623000
199.300000	0.001650	90.195000
199.300000	0.001650	90.790000
199.300000	0.001650	91.368000
199.300000	0.001150	91.955000
199.300000	0.000000	93.893000
199.300000	0.000000	94.662000
199.700000	0.051000	95.246000
199.700000	0.051000	95.829000
205.400000	0.606000	96.408000
205.400000	0.606000	96.986000
205.400000	0.606000	97.567000
212.900000	0.824000	98.163000
212.900000	0.824000	98.741000
212.900000	0.869000	99.321000
220.400000	0.869000	99.909000
220.400000	0.877000	100.502000
220.400000	0.877000	101.081000
227.900000	0.877000	101.668000
227.900000	0.877000	102.246000
235.400000	0.883000	102.827000
