Channel_number:	CH5
Foil_name:	GE21-FOIL-M3-G12-KR-B02-0020
Production-delivery_date:	
User_name:	
Time_stamp:	20220218_22-49
Voltage (V)	Current (uA)	Time (s)
0.000000	0.000000	1.894000
0.000000	0.000000	2.464000
0.000000	0.000000	3.034000
0.000000	0.003000	3.608000
0.000000	0.003000	4.178000
9.700000	1.288000	4.752000
9.700000	1.288000	5.322000
9.700000	1.288000	5.892000
30.700000	2.024000	6.462000
30.700000	2.024000	7.032000
30.700000	1.857000	7.605000
46.400000	1.857000	8.175000
46.400000	1.857000	8.746000
46.400000	1.793000	9.315000
61.500000	1.793000	9.886000
61.500000	1.793000	10.459000
76.700000	1.777000	11.030000
76.700000	1.777000	11.600000
76.700000	1.777000	12.170000
91.800000	1.775000	12.928000
91.800000	1.775000	13.499000
99.200000	0.936000	14.069000
99.200000	0.936000	14.648000
99.200000	0.936000	15.223000
99.300000	0.203000	15.794000
99.300000	0.203000	16.367000
99.300000	0.048000	16.938000
99.300000	0.048000	17.501000
99.300000	0.048000	18.076000
99.300000	0.016000	18.648000
99.400000	0.016000	19.220000
99.400000	0.016000	19.791000
99.300000	0.008000	20.362000
99.300000	0.008000	20.938000
99.300000	0.008000	21.509000
99.400000	0.007000	22.083000
99.400000	0.007000	22.652000
99.300000	0.005000	23.223000
99.300000	0.005000	23.792000
99.300000	0.005000	24.362000
99.400000	0.006000	24.937000
99.400000	0.006000	25.506000
99.400000	0.005000	26.077000
99.400000	0.005000	26.658000
99.400000	0.005000	27.229000
99.400000	0.005000	27.800000
99.400000	0.005000	28.364000
99.400000	0.000000	30.356000
99.400000	0.000000	31.122000
99.400000	0.000000	31.692000
99.400000	0.000750	32.268000
99.400000	0.000750	32.839000
99.400000	0.000750	33.411000
99.400000	0.001550	33.982000
99.400000	0.001550	34.555000
99.400000	0.001050	35.126000
99.400000	0.001050	35.697000
99.400000	0.001050	36.270000
99.400000	0.001050	36.840000
99.400000	0.002350	37.411000
99.400000	0.002350	37.983000
99.400000	0.001250	38.554000
99.400000	0.001250	39.127000
99.400000	0.001250	39.698000
99.400000	0.001750	40.268000
99.400000	0.001750	40.840000
99.400000	0.001850	41.411000
