Channel_number:	CH3
Foil_name:	GE21-FOIL-M3-G12-KR-B02-0021
Production-delivery_date:	
User_name:	
Time_stamp:	20220215_18-00
Voltage (V)	Current (uA)	Time (s)
0.000000	0.000000	1.872000
0.000000	0.000000	2.443000
0.000000	0.002000	3.014000
0.000000	0.002000	3.603000
0.000000	0.002000	4.182000
7.500000	1.118000	4.769000
7.500000	1.118000	5.340000
7.500000	2.166000	5.910000
29.400000	2.166000	6.481000
29.400000	2.166000	7.071000
29.400000	1.939000	7.651000
45.000000	1.939000	8.222000
45.000000	1.939000	8.792000
60.200000	1.861000	9.365000
60.200000	1.861000	9.950000
60.200000	1.861000	10.525000
75.500000	1.848000	11.105000
75.500000	1.848000	11.675000
90.700000	1.845000	12.245000
90.700000	1.845000	13.027000
99.700000	1.104000	13.606000
99.700000	1.104000	14.186000
99.700000	1.104000	14.763000
99.900000	0.230000	15.340000
99.900000	0.230000	15.913000
99.900000	0.050000	16.493000
99.900000	0.050000	17.074000
99.900000	0.050000	17.645000
99.900000	0.050000	18.215000
99.900000	0.015000	18.792000
99.900000	0.015000	19.369000
99.900000	0.008000	19.949000
99.900000	0.008000	20.529000
99.900000	0.008000	21.103000
99.900000	0.006000	21.676000
99.900000	0.006000	22.254000
99.900000	0.006000	22.827000
99.900000	0.006000	23.395000
99.900000	0.006000	23.967000
99.900000	0.005000	24.538000
99.900000	0.005000	25.116000
99.900000	0.005000	25.694000
99.900000	0.005000	26.266000
99.900000	0.005000	26.843000
99.900000	0.003000	27.415000
99.900000	0.003000	27.994000
99.900000	0.003000	28.567000
99.900000	0.000000	30.532000
99.900000	0.000000	31.292000
99.900000	0.000050	31.863000
99.900000	0.000050	32.451000
99.900000	0.000050	33.020000
99.900000	0.000050	33.600000
99.900000	0.001750	34.176000
99.900000	0.001750	34.761000
99.900000	0.001700	35.334000
99.900000	0.001700	35.911000
99.900000	0.001700	36.481000
99.900000	0.001550	37.060000
99.900000	0.001550	37.655000
99.900000	0.001750	38.236000
99.900000	0.001750	38.829000
99.900000	0.001750	39.402000
99.900000	0.001250	39.980000
99.900000	0.001250	40.560000
99.900000	0.001750	41.132000
99.900000	0.001750	41.721000
99.900000	0.001750	42.290000
99.900000	0.001750	42.862000
100.000000	0.001650	43.442000
100.000000	0.001650	44.037000
99.900000	0.001200	44.615000
99.900000	0.001200	45.195000
99.900000	0.001200	45.767000
100.000000	0.001400	46.347000
99.900000	0.000000	48.301000
99.900000	0.000000	48.872000
100.500000	0.056000	49.443000
100.500000	0.056000	50.031000
100.500000	0.056000	50.609000
111.500000	1.255000	51.197000
111.500000	1.255000	51.775000
126.700000	1.723000	52.353000
126.700000	1.723000	52.932000
126.700000	1.723000	53.511000
141.900000	1.815000	54.104000
141.900000	1.815000	54.682000
157.200000	1.836000	55.268000
157.200000	1.836000	55.857000
157.200000	1.837000	56.432000
157.200000	1.837000	57.010000
172.300000	1.837000	57.597000
172.300000	1.840000	58.178000
187.500000	1.840000	58.764000
187.500000	1.840000	59.530000
199.100000	1.369000	60.106000
199.100000	1.369000	60.702000
199.100000	1.369000	61.281000
200.000000	0.309000	61.861000
200.000000	0.309000	62.443000
200.000000	0.061000	63.011000
200.000000	0.061000	63.598000
200.000000	0.061000	64.180000
200.000000	0.017000	64.767000
200.000000	0.017000	65.345000
200.000000	0.008000	65.924000
200.000000	0.008000	66.502000
200.000000	0.008000	67.081000
200.000000	0.006000	67.669000
200.000000	0.006000	68.242000
200.000000	0.006000	68.816000
200.000000	0.005000	69.397000
200.000000	0.005000	69.974000
200.000000	0.005000	70.553000
200.000000	0.005000	71.130000
200.000000	0.005000	71.710000
200.000000	0.004000	72.280000
200.000000	0.004000	72.866000
200.000000	0.004000	73.447000
200.000000	0.005000	74.033000
200.000000	0.005000	74.614000
200.000000	0.000000	76.581000
200.000000	0.000000	77.348000
200.000000	0.000000	77.919000
200.000000	0.001150	78.496000
200.000000	0.001150	79.073000
200.000000	0.001150	79.645000
200.000000	0.001950	80.242000
200.000000	0.001950	80.822000
200.000000	0.001800	81.400000
200.000000	0.001800	81.995000
200.000000	0.002150	82.571000
200.000000	0.002150	83.150000
200.000000	0.002150	83.731000
200.000000	0.002550	84.305000
200.000000	0.002550	84.901000
200.000000	0.002550	85.477000
200.000000	0.002550	86.060000
200.000000	0.001050	86.647000
200.000000	0.001050	87.219000
200.000000	0.001700	87.798000
200.000000	0.001700	88.378000
200.000000	0.002300	88.956000
200.000000	0.002300	89.543000
200.000000	0.002300	90.123000
200.000000	0.001850	90.702000
200.000000	0.001850	91.297000
200.000000	0.001700	91.877000
200.000000	0.001700	92.459000
200.000000	0.000000	94.447000
200.300000	0.016000	95.025000
200.300000	0.016000	95.612000
200.300000	0.016000	96.191000
200.300000	0.619000	96.771000
205.600000	0.619000	97.356000
205.600000	0.619000	97.925000
213.100000	0.855000	98.502000
213.100000	0.855000	99.082000
213.100000	0.855000	99.660000
220.600000	0.896000	100.246000
220.600000	0.896000	100.833000
228.100000	0.907000	101.411000
228.100000	0.907000	102.007000
228.100000	0.907000	102.584000
